boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
201912270MIA,"Fri, Dec 27, 2019",MIA,IND,Miami Heat,Indiana Pacers,113,112,1,Home,95.1,True,2020
201912280MIA,"Sat, Dec 28, 2019",MIA,PHI,Miami Heat,Philadelphia 76ers,117,116,1,Home,92.5,True,2020
202001020MIA,"Thu, Jan 2, 2020",MIA,TOR,Miami Heat,Toronto Raptors,84,76,8,Home,89.0,True,2020
202001030ORL,"Fri, Jan 3, 2020",ORL,MIA,Orlando Magic,Miami Heat,105,85,20,Home,95.3,True,2020
202001050MIA,"Sun, Jan 5, 2020",MIA,POR,Miami Heat,Portland Trail Blazers,122,111,11,Home,95.2,True,2020
202001080IND,"Wed, Jan 8, 2020",IND,MIA,Indiana Pacers,Miami Heat,108,122,-14,Home,99.0,True,2020
202001120NYK,"Sun, Jan 12, 2020",NYK,MIA,New York Knicks,Miami Heat,124,121,3,Home,95.3,True,2020
202001150MIA,"Wed, Jan 15, 2020",MIA,SAS,Miami Heat,San Antonio Spurs,106,100,6,Home,94.5,True,2020
202001190SAS,"Sun, Jan 19, 2020",SAS,MIA,San Antonio Spurs,Miami Heat,107,102,5,Home,93.2,True,2020
202001200MIA,"Mon, Jan 20, 2020",MIA,SAC,Miami Heat,Sacramento Kings,118,113,5,Home,96.9,True,2020
202001240MIA,"Fri, Jan 24, 2020",MIA,LAC,Miami Heat,Los Angeles Clippers,117,122,-5,Home,100.5,True,2020
202001270MIA,"Mon, Jan 27, 2020",MIA,ORL,Miami Heat,Orlando Magic,113,92,21,Home,90.0,True,2020
202001280MIA,"Tue, Jan 28, 2020",MIA,BOS,Miami Heat,Boston Celtics,101,109,-8,Home,96.4,True,2020
202002010ORL,"Sat, Feb 1, 2020",ORL,MIA,Orlando Magic,Miami Heat,89,102,-13,Home,89.8,True,2020
202002030MIA,"Mon, Feb 3, 2020",MIA,PHI,Miami Heat,Philadelphia 76ers,137,106,31,Home,92.0,True,2020
202002050LAC,"Wed, Feb 5, 2020",LAC,MIA,Los Angeles Clippers,Miami Heat,128,111,17,Home,98.9,True,2020
202002070SAC,"Fri, Feb 7, 2020",SAC,MIA,Sacramento Kings,Miami Heat,105,97,8,Home,96.3,True,2020
202002090POR,"Sun, Feb 9, 2020",POR,MIA,Portland Trail Blazers,Miami Heat,115,109,6,Home,101.2,True,2020
202002100GSW,"Mon, Feb 10, 2020",GSW,MIA,Golden State Warriors,Miami Heat,101,113,-12,Home,98.6,True,2020
202002120UTA,"Wed, Feb 12, 2020",UTA,MIA,Utah Jazz,Miami Heat,116,101,15,Home,97.8,True,2020
202002200ATL,"Thu, Feb 20, 2020",ATL,MIA,Atlanta Hawks,Miami Heat,129,124,5,Home,108.9,True,2020
202002220MIA,"Sat, Feb 22, 2020",MIA,CLE,Miami Heat,Cleveland Cavaliers,124,105,19,Home,98.0,True,2020
202002240CLE,"Mon, Feb 24, 2020",CLE,MIA,Cleveland Cavaliers,Miami Heat,125,119,6,Home,97.0,True,2020
202002260MIA,"Wed, Feb 26, 2020",MIA,MIN,Miami Heat,Minnesota Timberwolves,126,129,-3,Home,109.3,True,2020
202002280MIA,"Fri, Feb 28, 2020",MIA,DAL,Miami Heat,Dallas Mavericks,126,118,8,Home,96.7,True,2020
202003040MIA,"Wed, Mar 4, 2020",MIA,ORL,Miami Heat,Orlando Magic,116,113,3,Home,92.9,True,2020
202003110MIA,"Wed, Mar 11, 2020",MIA,CHO,Miami Heat,Charlotte Hornets,98,109,-11,Home,89.1,True,2020
202008010DEN,"Sat, Aug 1, 2020",DEN,MIA,Denver Nuggets,Miami Heat,105,125,-20,Home,98.7,True,2020
202008030MIA,"Mon, Aug 3, 2020",MIA,TOR,Miami Heat,Toronto Raptors,103,107,-4,Home,98.3,True,2020
202008040MIA,"Tue, Aug 4, 2020",MIA,BOS,Miami Heat,Boston Celtics,112,106,6,Home,93.6,True,2020
202008080MIA,"Sat, Aug 8, 2020",MIA,PHO,Miami Heat,Phoenix Suns,112,119,-7,Home,99.6,True,2020
202008100MIA,"Mon, Aug 10, 2020",MIA,IND,Miami Heat,Indiana Pacers,114,92,22,Home,104.4,True,2020
202008140IND,"Fri, Aug 14, 2020",IND,MIA,Indiana Pacers,Miami Heat,109,92,17,Home,100.3,True,2020
202008180IND,"Tue, Aug 18, 2020",IND,MIA,Indiana Pacers,Miami Heat,101,113,-12,Home,91.1,True,2020
202008200IND,"Thu, Aug 20, 2020",IND,MIA,Indiana Pacers,Miami Heat,100,109,-9,Home,97.9,True,2020
202008220MIA,"Sat, Aug 22, 2020",MIA,IND,Miami Heat,Indiana Pacers,124,115,9,Home,102.8,True,2020
